number	number_sup	trip	trip_sup	onboard_at_departure	death_at_cape	left_at_cape	onboard_at_cape	death_during_voyage	onboard_at_arrival
1376		3		19					19
1378		5		22					22
1379		5		18				2	16
1380		3		11				1	10
1381		5		11					11
1383		5		7					7
1397		3		7					7
1401		1		4				1	3
1403		3		13			1	4	10
1482		2		3		3			
1507		2		3		3			
1516		1					2		2
1521		2					1		1
1523		4					1		1
1608		3		1				1	
1621		3		4					1
1974		3		6		2			4
2311		1		2	1	1			
2325		1		1					1
2326		2		2					2
2336		4		2		1			1
2338		3		4				1	3
2339		5		3			1		4
2340		3		8		1			7
2343		4		3					3
2344		1		5					5
2346		1		1					1
2347		2		2					2
2351		5		10		7	1		4
2352		2		1				1	
2353		5		1					1
2355		1		6					6
2358		2		2					2
2359		2		3		1			2
2361		1		3					3
2362		2		5		3			2
2363		3		4		1	1		4
2365		6		5		3			
2367		2		4		1			
2368		4		5	1			1	4
2375		5		4		1			3
2376		1		1		1			
2377		4		4				2	2
2381		1		2			1		3
2385		1		1		1			
2394		2		3		1			1
2396		1		1					1
2397		1		6		1		1	4
2398		4		6		6			
2399		3		2				1	1
2400		6		5					5
2401		2		3					3
2402		2		2		1	3		4
2404		5		2		1			1
2406		3		4					1
2407		4		5				1	4
2408		2		7		1			6
2412		5		7				3	4
2415		4		4				2	2
2416		1		2					2
2417		5		3					3
2418		4		3					3
2420		3		4		1			3
2421		3		3					3
2422		1		2		1		1	
2423		4		3		2		1	
2424		4		2		1			1
2426		6		2				1	1
2427		4		2				1	1
2428		4		5		1			4
2429		1		2			2	1	3
2436		2		6	1	1		1	4
2437		4		1					1
2438		1		3					3
2439		1		5		2		1	2
2440		5		1					1
2443		2		2		1		1	
2445		2		4			1	1	4
2447		3		2					2
2452		5		1					1
2453		5		1					1
2454		1		2				2	
2456		3		1		1			
2458		2		2			1		3
2459		2		5					5
2460		7		2		1		1	
2463		5		1				1	
2486		2		4		1			3
2491		3		3		1			2
2496		1		4		1			3
2497		5		3		1			2
2500		1		3		1	1	2	1
2502		1		1					1
2503		1		4		2	1	2	1
2504		4		1				1	
2505		3		1					1
2508		1		1					1
2509		4		3		1		1	1
2511		6					1		1
2515		7		1					1
2518		1		2					2
2519		2		5	1			1	4
2523		1		1					1
2525		1		3					3
2529		2		1					1
2530		4		1					1
2531		6		3					2
2532		1		2		1			1
2533		7		1					1
2535		2		2				1	1
2536		1		3					3
2537		1		2					2
2541		1		1			1		2
2542		4		1					1
2546		3		2		1	1		2
2559		6		1					1
2560		3		3	1			1	2
2561		2		6		1			5
2562		4		4		1			3
2565		3		4					4
2567		1		2					2
2568		2		6		1	1	3	3
2570		4		4					4
2571		3		2					2
2572		4		2				1	1
2573		1		1				1	
2574		3		91	1	2		2	87
2578		3		2					2
2580		2		2		1			1
2581		1		2				1	1
2582		4		1					1
2585		2		2					2
2586		5		3			1		4
2587		1		1					1
2589		1		1				1	
2590		1		1			1		2
2591		1		1				1	
2592		2		1					1
2595		7		2					2
2596		2		1					1
2601		5		2				1	1
2602		4		4		2			2
2603		3		3		1			2
2604		5		4					4
2610		1		4		1		1	2
2611		5		1					1
2613		1		7					7
2614		2		7		1	1	1	6
2615		2		3					3
2617		2		6					6
2618		4		1					1
2625		3		6		1		3	2
2627		1		1					1
2629		2		1		1			
2631		2		2					2
2632		4		3					3
2633		2		3					3
2634		1		3					3
2635		6		3		1			2
2636		2		2					2
2638		4		2					2
2639		4		8				1	7
2640		3		2					2
2641		5		1		1	1		1
2642		3		4		1	2		5
2643		2		1					1
2644		2		3					3
2646		2		3					3
2648		1		4					4
2649		4		5					5
2650		4		4				1	3
2651		3		3				1	2
2652		3		9		1			8
2653		5		5			1		6
2654		3		1					1
2655		2		3					3
2656		2		4					4
2657		3		5				1	4
2658		2		3		1	1		3
2659		3		1					1
2660		5		1					1
2661		7		4		1			3
2662		3		3		1			2
2663		4		2					2
2664		1		1	1			1	
2666		2		1					1
2667		5		5					5
2668		3		3		1			2
2669		4		3			1		4
2670		5		4			1		5
2673		3		7				3	4
2674		2		3					3
2675		2		6					6
2677		2		2				1	1
2678		1		4		1			5
2679		5		5					5
2681		3		4					4
2682		3		1					1
2684		1		1					1
2685		3		4		1			3
2687		2		3					3
2688		8		4		1		1	2
2689		7		3					3
2690		3		4			1		5
2691		1		2					2
2692		4		3					3
2694		1		1		1	1		1
2695		1		4		1			3
2698		2		8					8
2699		3		3					3
2700		5		1					1
2701		6		4				1	3
2702		6		2					2
2703		7		1		1			
2704		4		8				3	5
2705		6		6		1			5
2706		3		1					1
2707		1		6			1	3	4
2708		2		1					1
2710		3		8		5	1		4
2712		2		1		1			
2713		7		3					3
2714		3		5				2	2
2715		4		6		1		1	4
2716		3		2					2
2717		3		2					2
2718		3		3		1			2
2719		4		5	1			1	4
2721		3		4	1			1	3
2723		6		5				1	4
2725		4		7	1	2		1	2
2730		4		3					3
2732		6		3					3
2733		5					1		1
2734		2		3					3
2735		3		1					1
2736		2		1					1
2737		5					2		2
2738		4		4		1			3
2739		4		1					1
2740		3		4					4
2741		4		1					1
2742		1		4				1	3
2744		5		3					3
2745		4		4					4
2746		6		1					1
2747		5		5					5
2748		1		2					2
2749		3		10		1		3	6
2750		3		6					6
2751		6		7		1		1	5
2752		2		3				1	2
2753		3		1					1
2754		4		12		1		1	10
2756		3		2					2
2757		9		4					4
2758		4		4				1	3
