number	number_sup	trip	trip_sup	onboard_at_departure	death_at_cape	left_at_cape	onboard_at_cape	death_during_voyage	onboard_at_arrival
5733		3		18					
5734		2		19					
5735		1		18					
5736		1		20					
5737		4		20					
5751		1		9					
5752		5		9					
5755		3		16					
5758		5		24					
5759		5		17					
5764		2		1					
5792		1		8					
5793		3		14					
5794		1		11					
5795		1		7					
5796		6		13					
5798		2		2					
5799		3		2					
5800		1		1					
5802		1		3					
5806		1		23					
5807		3		17					
5808		5		20					
5809		2		23					
5810		3		20					
5811		2		16					
5813		1		15					
5818		2		1					
5819		1		4					
5821		2		3					
5822		2		16					
5823		1		19					
5824		1		15					
5825		1		13					
5826		1		10					
5827		1		7					
5828		1		3					
5830		2		5					
5831		4		4					
5832		1		3					
5833		1		21					
5834		1		14					
5835		1		10					
5836		1		13					
5837		3		13					
5838		1		13					
5839		1		19					
5840		2		16					
5841		2		1					
5842		1		6					
5843		4		4					
5844		3		2					
5845		4		5					
5846		1		3					
5847		1		16					
5848		1		13					
5849		4		27					
5850		3		2					
5851		2		23					
5852		1		3					
5853		2		16					
5854		2		18					
5855		3		1					
5856		1		8					
5859		2		1					
5860		1		1					
5862		2		8					
5879		1		17					
5880		1		14					
5882		3		13					
5886		1		2					
5887		3		4					
5890		4		2					
5891		2		7					
5894		3		18					
5895		4		33					
5896		1		18					
5897		1		18					
5898		2		18					
5899		3		9					
5900		1		19					
5901		1		6					
5902		3		6					
5903		2		16					
5905		2		11					
5906		1		15					
5907		2		15					
5908		4		13					
5909		1		15					
5910		3		15					
5912		2		7					
5913		1		6					
5914		2		6					
5915		2		6					
5916		1		8					
5917		1		6					
5918		3		12					
5919		3		5					
5920		3		6					
5922		4		15					
5923		1		12					
5924		1		8					
5925		1		12					
5926		2		12					
5927		1		7					
5928		2		10					
5929		2		10					
5930		1		8					
5931		1		8					
5932		1		13					
5933		3		8					
5934		2		5					
5935		1		5					
5936		1		5					
5937		1		4					
5938		1		5					
5939		1		5					
5940		3		5					
5941		1		4					
5942		2		5					
5947		1		5					
5948		1		7					
5950		2		11					
5951		1		10					
5952		4		12					
5953		1		12					
5954		3		11					
5955		1		8					
5956		2		17					
5957		2		16					
5958		1		9					
5959		2		20					
5962		5		9					
5963		1		4					
5964		2		6					
5965		1		5					
5966		1		8					
5967		1		14					
5968		2		11					
5969		2		6					
5970		3		10					
5971		1		12					
5972		2		9					
5973		2		10					
5976		1		4					
5979		3		1					
5981		1		8					
5982		1		8					
5983		1		8					
5984		1		9					
5985		2		6					
5986		2		9					
5987		1		10					
5987	A	2		5					
5988		4		10					
5989		2		4					
5993		2		11					
5994		2		8					
5997		1		3					
5999		1		3					
6000		2		9					
6001		2		7					
6002		2		9					
6003		2		10					
6004		2		9					
6005		1		11					
6006		2		7					
6009		2		12					
6010		1		5					
6018		1		5					
6019		3		6					
6020		2		5					
6021		3		5					
6022		3		5					
6023		4		7					
6024		5		13					
6025		4		5					
6026		3		5					
6032		1		1					
6037		3		10					
6038		3		10					
6039		1		6					
6040		1		3					
6041		2		8					
6042		2		6					
6043		1		3					
6044		1		8					
6045		3		6					
6046		2		8					
6047		1		4					
6048		3		5					
6053		3		3					
6054		2		1					
6058		4		5					
6059		3		8					
6060		4		5					
6061		3		8					
6062		3		8					
6063		1		5					
6064		4		8					
6065		3		5					
6066		1		10					
6067		5		8					
6070		2		5					
6073		3		5					
6074		1		5					
6075		2		4					
6079		3		8					
6080		4		8					
6081		3		8					
6082		2		9					
6083		4		8					
6084		2		5					
6085		4		10					
6086		4		8					
6087		4		6					
6088		4		8					
