number	number_sup	trip	trip_sup	invoice	chamber 
5102		2		268964	A
5103		2		164562	Z
5105		2		110370	A
5106		2		127181	D
5107		2		101522	A
5108		3		110370	A
5110		1		21160	A
5112		3		192449	R
5113		1		231099	A
5114		1		32449	Z
5115		1		88907	A
5116		2		39787	D
5117		1		207498	A
5118		1		189448	Z
5119		1		136414	H
5120		2		56526	H
5121		1		48766	E
5122		1		235346	A
5123		1		140348	E
5124		1		137398	Z
5125		1		145787	A
5127		1		300010	A
5128		2		60491	A
5129		1		143970	Z
5130		1		157705	Z
5131		2		249883	A
5132		3		461998	D
5133		2		87711	A
5134		1		195913	R
5135		2		123667	A
5136		1		218086	A
5137		3		37096	R
5138		2		214263	Z
5139		3		83309	
5140		1		95238	A
5141		2		118121	Z
5142		1		203256	H
5143		3		278968	A
5144		1		315137	A
5145		1		130191	H
5146		1		228100	E
5147		1		316067	A
5148		1		268324	Z
5149		1		62754	A
5150		1		275888	A
5151		3		283047	Z
5152		4		123943	Z
5153		1		151234	A
5154		1		106659	A
5155		2		211770	A
5156		1		245984	E
5157		1		129607	D
5158		4		263842	A
5159		3		130360	Z
5160		2		150933	R
5161		1		135859	D
5162		1		23499	A
5164		1		222852	D
5165		2		243588	A
5166		2		109311	Z
5167		2		199065	A
5168		2		253027	A
5169		2		264605	A
5170		2		266764	Z
5171		3		461545	A
5172		1		203729	A
5173		2		159502	A
5174		1		89443	E
5175		2		135043	H
5176		1		128150	H
5177		1		186076	A
5178		1		156885	A
5179		2		112225	D
5180		1		293422	R
5181		2		233323	E
5182		3		294093	A
5183		3		150737	Z
5184		3		433039	A
5185		1		288699	Z
5186		4		171174	Z
5187		2		177035	A
5188		2		337771	D
5189		1		431033	Z
5190		1		65350	H
5191		1		88622	R
5192		3		418677	A
5193		4		380953	A
5194		1		327961	A
5195		3		121607	R
5196		1		232676	A
5197		1		146753	Z
5198		1		147978	Z
5199		1		259802	A
5200		3		171387	A
5201		1		52060	E
5202		3		373482	D
5203		5		271031	A
5204		2		91111	H
5205		2		467899	Z
5206		4		299933	A
5207		4		277796	A
5208		2		298410	R
5209		1		348027	A
5210		1		113526	Z
5211		4		111047	A
5212		1		205971	A
5213		1		279041	A
5214		1		269212	E
5215		4		92296	A
5216		1		289881	Z
5217		1		259222	A
5218		3		252739	Z
5219		3		70239	H
5220		2		196848	A
5221		1		223057	A
5222		1		247537	A
5223		1		561391	A
5224		2		547961	Z
5225		1		347906	Z
5226		5		198880	A
5227		1		165011	H
5228		3		166064	R
5229		2		295406	A
5230		1		210352	A
5231		1		477791	A
5232		1		194400	D
5233		2		232855	E
5234		3		267379	A
5235		2		378578	A
5236		2		395947	Z
5237		1		310569	A
5238		2		167543	Z
5239		2		190098	A
5240		2		272894	A
5241		3		292758	A
5242		1		401775	Z
5243		1		688078	A
5244		1		204434	D
5245		2		159826	A
5247		2		140193	H
5248		1		136414	R
5249		4		154234	A
5250		3		210975	A
5251		4		524355	Z
5252		2		385414	A
5253		2		345335	A
5254		3		269738	E
5255		4		313514	A
5256		2		155035	Z
5257		3		422127	A
5258		1		123756	E
5259		2		566833	Z
5260		1		476862	A
5261		1		25445	A
5262		2		168441	D
5263		7		178926	H
5264		5		206237	A
5265		4		323019	A
5266		3		270731	Z
5267		3		268266	A
5268		5		655127	Z
5269		1		208783	Z
5270		4		637484	A
5271		3		493332	A
5272		2		416131	R
5273		1		117930	A
5274		3		285640	Z
5275		2		264987	A
5276		4		346599	A
5277		2		325340	E
5278		1		206247	A
5279		1		394217	Z
5280		1		227600	H
5281		1		347977	A
5282		5		302174	A
5283		2		436685	D
5284		6		174528	Z
5285		1		81038	A
5286		3		401184	A
5287		6		364572	Z
5288		4		296193	E
5289		4		388516	Z
5290		1		360084	A
5292		1		98572	H
5293		2		357101	A
5294		3		152701	R
5295		1		69679	A
