number	number_sup	trip	trip_sup	onboard_at_departure	death_at_cape	left_at_cape	onboard_at_cape	death_during_voyage	onboard_at_arrival
310		2		66				2	64
311		2		55				5	55
318		5		17				4	13
320		3		23					
321		2		10					
335		1		6					
340		1		20					
469		1							1
557		1							13
559		1							2
560		5							7
561		2							3
564		2							2
567		1							3
569		1							19
659		3						2	
685		4							18
687		2							11
691		1							7
693		1							2
694		1		4					
695		1							1
706		2							8
707		9							10
723		1							11
724		5							18
726		3							16
727		6							18
728		4							25
730		2							17
731		2							1
732		8							9
733		5							7
734		5							9
735		1							33
737		1							7
738		2							26
741		4							5
742		6							16
743		6							3
744		6							16
745		5							7
746		1							7
747		1							6
749		5							14
750		3							8
751		1							5
752		9							7
753		7							14
761		1							1
762		1							8
763		1							3
766		1							6
767		1		1					1
769		1		10					
770		2							6
776		5							14
782		1							2
803		7							5
805		8							8
826		1							11
827		1							10
830		6							11
831		1							5
835		2							2
836		2							8
837		2							2
840		1							10
841		1							2
842		1							3
843		1							10
845		2							6
850		3							11
851		1							1
855		5							19
858		8				3			7
859		1					4		5
862		7		14					14
863		7		9					9
864		2		8					8
865		1							1
866		1		1					1
873		8							15
874		8		8			1	1	8
875		9							2
876		8							8
877		1							1
878		1					7		13
879		2					16		21
880		2							6
881		2							3
882		1							4
883		1							1
884		3					30		32
885		4							14
886		1							2
888		9							15
889		7		5					5
892		1		5					5
894		2		8		8			
897		4		14					14
898		6		7		2			5
900		1		1					1
903		2		2					2
905		2		5					5
906		8		7		2			5
907		2					1		1
908		8		8		1			9
909		8		6					6
910		3		2					2
913		3					2		12
917		2		1					1
919		9		21			2	2	21
920		1							4
922		1					58		59
923		4		3			58		61
924		9		7					7
925		1							7
927		1		2					3
928		9		2					
931		1		12				1	11
932		2		3			2		5
933		4		6					6
937		1		2					2
938		5		13			1	1	14
939		3		15		1		2	12
940		3		17		4			13
941		1		4				1	4
948		1		3		1			2
950		5		15				5	11
951		7		5					6
952		1		5					6
953		8		2					2
954		4		10		4			6
955		9		6					6
956		4		5					5
957		1		9				1	8
959		2		6					6
962		2		8				1	7
963		2					11		11
965		1		7		1			6
966		9		10					10
967		1					1		1
968		1		8		5			3
969		1		6		3			3
971		1		7		2			5
972		9		10		1	6	2	13
973		1		2				1	1
977		2		14				1	13
979		1		2			5		7
980		1		5			1		6
981		1		6			7		13
982		1					4		4
983		1					7		7
984		2		4			9		13
986		8		9					10
988		5		5			1	1	5
989		2		5					5
990		1		9					9
991		1		7					7
992		1		6					6
996		1		10					11
997		1		3		3			
1000		1		5		1		1	3
1001		1		2			1		3
1002		1		5		2			3
1004		6		18					18
1005		10		10		1			9
1006		2		11		1			10
1009		2					1		1
1010		1		15					15
1011		4		3					3
1012		2		14		1			13
1013		1		4					4
1014		2		2					2
1015		5		7		4			3
1021		5		10					10
1022		1		5					5
1024		1		7		3			4
1026		2					5		5
1028		3		5				1	4
1029		1		4		1			3
1033		2		1			11		12
1034		1		1				1	
1035		1		10				3	7
1036		1		2		2			
1038		1		1		1			
1039		1		4					4
1043		2		5		3			2
1044		1		2		2	2		2
1045		5		11		6	1	1	5
1046		2		3					3
1047		2		6					6
1048		1		8					8
1051		3		3					3
1052		2		6		4			2
1053		1					1		1
1054		2		5		1		2	2
1056		2		6					6
1057		1		12			2		14
1058		2		5					5
1062		1		4		2		2	
1063		3		4			2		6
1064		1		3					3
1068		2		5			6		11
1069		2		4					5
1070		1		8					8
1071		1		5					5
1073		1		9				2	7
1075		1		5					5
1077		1		1					1
1081		1		3					3
1083		1		5		1			4
1084		1		1			2		3
1087		1		6					6
1088		1		9				1	8
1093		1		10				1	9
1094		1		5					5
1096		2		9			6		15
1097		2		12					12
1098		1		6					6
1100		2		12				1	11
1101		6		7					7
1104		2		4					4
1105		1		6					6
1107		1		5					5
1111		2		3					3
1112		1		12		1			11
1113		2		8		5			3
1122		2		2					2
1124		1		9		1			8
1125		2		1					1
1126		3		2					2
1128		2		2					2
1131		1		4					4
1133		1		4					4
1135		2		5					5
