number	number_sup	trip	trip_sup	onboard_at_departure	death_at_cape	left_at_cape	onboard_at_cape	death_during_voyage	onboard_at_arrival
196		1		65					
197		1		22					
296		1		126					
298		1		147					
299		1		89					
301		1		152					
302		1		105					
303		1		54					
304		1		20					
305		1		109					
306		1		50					
307		1		103					
308		1		25				3	
310		2		181				13	168
311		2		183				28	155
318		5		160				31	129
320		3		162				20	255
321		2		116				30	141
335		1		158				28	192
340		1		230				62	270
362		4							180
446		4		120				4	120
448		2						1	165
464		2						1	154
465		3						6	138
466		1						13	117
467		1						1	66
468		1						3	60
469		1							107
470		1						3	41
471		3						11	232
472		1						7	78
473		1						3	51
474		1						19	143
475		4						21	152
476		3						26	190
477		1							26
478		1						1	54
479		2						2	134
480		1						8	193
481		7						3	209
482		5						46	144
483		4						39	184
484		1							42
485		3		120					120
486		3		249					
487		2						2	256
488		2						1	150
489		1						1	59
490		1							56
491		1							63
492		5						38	244
493		1						20	154
494		1						5	82
495		1						1	83
496		1						1	43
497		1						18	46
498		2						6	129
499		1							74
500		1		80				3	94
501		1		80				5	71
502		3						10	196
503		3						13	222
504		1						2	72
505		1		40					40
506		3						185	93
507		1						1	47
509		4						12	209
512		3		250	56			9	151
513		4						7	168
514		1							53
515		1						3	81
516		2						3	203
517		1						6	73
518		4						15	168
519		1						2	46
520		1						5	48
521		4						20	213
522		1						3	129
523		1						4	68
525		1						29	55
527		1						2	75
528		8						14	201
529		1						39	176
531		5						39	159
548		3						42	129
549		1						10	123
550		1						8	44
552		1						2	54
553		1						8	163
554		1						29	156
555		1							53
557		1						40	50
558		2						6	194
559		1						5	83
560		5						16	140
561		2						7	159
563		1						14	68
564		2						9	149
565		3							144
566		3						2	216
567		1						10	89
568		2						10	149
569		1						28	158
570		1						15	197
577		4						1	159
579		2						5	54
580		1						1	73
582		1						1	154
584		1						6	208
585		1							18
586		5						3	181
587		5						26	183
588		1							44
589		7						38	164
590		1							73
591		1						2	61
592		1							51
593		2						18	174
594		1							17
595		6						12	169
596		2						32	202
597		2						4	223
598		6						3	120
599		2		114				6	108
600		3						2	243
601		2						4	167
602		2		82					82
603		7		172					172
604		2						10	202
605		1						5	218
606		3						1	170
607		1						2	167
608		2						5	159
609		5						26	159
610		1		37					37
611		1		41				11	33
613		2		133			25	31	220
614		2		225	3		69	70	196
615		1		79					79
616		4						62	266
617		8						2	193
618		2						2	239
619		1						3	86
620		1		81					81
621		2						6	255
624		1						5	40
625		1						1	48
626		1						16	169
627		7						7	252
628		1						2	59
629		1						2	63
630		1						2	42
636		1						1	119
641		1						2	60
642		1						16	95
643		3						61	197
644		1						3	38
645		6						4	213
646		4						16	230
648		1						5	58
649		1						20	38
659		3							300
681		8						19	233
683		1		368	26			132	161
685		4							207
687		2		216				5	164
691		1						7	61
693		1						4	64
694		1		36				3	
695		1						51	179
696		4						75	199
700		1						1	93
701		1						7	93
706		2						11	77
707		9						5	196
723		1							86
724		5						23	189
725		1						4	66
726		3						23	109
727		6						8	103
728		4						13	163
729		6		300				50	169
730		2						20	165
731		2							83
732		8						2	174
733		5						49	172
734		5						18	175
735		1						31	119
737		1						5	225
738		2				49		1	50
740		2				28		4	58
741		4						5	166
742		6			85	20		93	197
743		6			45	30		56	212
744		6						53	179
745		5			39			68	165
746		1						14	88
747		1						5	90
748		1							20
749		5						75	196
750		3						56	197
751		1						1	56
752		9						87	192
753		7						87	163
754		1						1	30
761		1						1	74
762		1			6	25		9	92
763		1		170				19	94
766		1						18	142
767		1		79				11	138
769		1		89				13	10
770		2						5	92
771		1						15	163
774		1						2	115
775		6						6	246
776		5						57	102
777		2						11	171
782		1						4	90
803		7						35	200
805		8						14	228
807		7			16			10	192
826		1			6			10	204
827		1			6			7	189
829		7			11			17	163
830		6		290	5			7	185
831		1			1			3	215
834		1		75					58
835		2		165	2			2	141
836		2			2			2	120
837		2		214	1			2	151
839		1		105					74
840		1		187	2			2	117
841		1		242	3			8	175
842		1		223	1			2	170
843		1		241	5			6	168
844		2		200	2			5	123
845		2		170	1			3	92
846		2		260				6	150
847		3						2	71
849		1		38				1	33
850		3		347	3	9		7	225
851		1		40					39
854		1		64		1		1	40
855		5		356		13		4	150
858		8		250		7	2	29	122
859		1		36	1	1			35
860		1		208	8	14	4		110
861		1		54		1	4		5
862		7		240	3	1		3	236
863		7		254	5	6	10	6	252
864		2		379	22	10		25	232
865		1		230	11			10	130
866		1		172	2	9	8	5	166
867		1		57	6		1	6	52
868		3		199	3		18	20	313
869		7						23	282
870		1		152	1	49			
871		1		38		1			
872		8			1			13	200
873		8		276	7	12	50	7	200
874		8		210	3	33		4	173
875		9		244	5		35	6	222
876		8		340	5	8	3	8	188
877		1		63	7	6	11	7	40
878		1		154	10		3	12	87
879		2		317	11	7	7	33	202
880		2		313	9	17		10	78
881		2		323	29	14	4	38	193
882		1		150		6		2	93
883		1		79	1			1	45
884		3		368	14	8		36	200
885		4			16	20		19	306
886		1		172	3			12	119
887		1		175		4	4	27	42
888		9		252	3	11	7	5	126
889		7		282	82	8	3	67	210
890		1		160	2	5		2	98
891		1		134	1	1	8	6	100
892		1		79	5	7	9	5	76
893		1		34			4	2	36
894		2		240	11	12		7	221
895		1		49	1			1	48
896		1		50	1			1	49
897		4		266	13	3		9	254
898		6		271	8	25		11	235
899		1		28				1	27
900		1		99	23		4	18	85
901		1		81				7	74
902		2		75	1	1		2	72
903		2		110	1			2	108
904		1		58	1		3	1	55
905		2		220	12	5		8	207
906		8		272	15		10	12	270
907		2		121	1		3	1	123
908		8		240	9		1	9	232
909		8		234	40			26	208
910		3		236	32	1	5	35	205
911		10		192	18	3		20	169
912		1		132	7	7		7	118
913		3		356	31		2	39	202
915		2		128	3			3	125
916		1		99	1	1		1	97
917		2		131	11	1		10	120
918		2		110	1	1		3	106
919		9		272	20	3		29	240
920		1		299	16			23	176
921		1		21					
922		1		302	3	11		21	202
923		4		189	3	4		2	183
924		9		206				7	199
925		1		139				2	82
926		1		55	1		1	1	53
927		1		88	4	12	7	4	78
928		9		212	6	16	7	6	349
931		1		222	73	11	18	38	191
932		2		150		4		1	145
933		4		195	5	6	1	4	189
934		2		100	1			1	97
935		1		60	1			1	59
936		3		213	4	1		5	207
937		1		92	4			4	88
938		5		242	15	1	12	17	236
939		3		236	31	2		22	212
940		3		228	26	6	3	20	211
941		1		113		2	2	4	109
942		2		131	3	1	1	3	128
944		1		258	23			14	107
946		1		253	14		1		
947		1		326	48	31	35		
948		1		232	2	5	1	3	225
949		1		20	4				24
950		5		200	21	6	3	27	170
951		7		235	36	4	3	20	214
952		1		57		2	2	2	54
953		8		238	34	19	5	23	201
954		4		212	5		1	4	209
955		9		226	12	5		9	212
956		4		211	14	4	3	7	203
957		1		98	8			4	94
958		1		51		2		1	48
959		2		97	1	2		1	94
960		2		177	27	1	2	24	154
962		2		98	5	2		8	88
963		2		124	1	2		1	121
964		1		110		3			107
965		1		206	27	4		21	181
966		9		236	20	13	3	24	202
967		1		97		6	1	14	78
968		1		120	18	6	7	31	90
969		1		118		10	8	15	101
970		1						11	
971		1		115	10	5	4	24	90
972		9		212	39	18	9	51	152
973		1		111		3	13	47	74
975		1		86	1	5		1	80
976		1		53		2	2		53
977		2		164	4	17	2	2	147
978		1		21			1		22
979		1		57				1	56
980		1		80		6			74
981		1		86	8	1		3	82
982		1		43					43
983		1		41		12	2	1	30
984		2		99	1	3		2	94
985		1		40				2	38
986		8		158	10	3	4	12	144
987		1		79					79
988		5		120	19			11	109
989		2		63	1			1	62
990		1		99	8	15	1	6	79
991		1		87	2	2	1	3	83
992		1		96	1	12		2	82
993		1		51			2	3	50
994		1		54					54
995		1		51					51
996		1		82	3	2	2	4	78
997		1		79	15	2	1	7	70
998		1		47	1	1	1	2	45
999		1		52	4		2	5	49
1000		1		134		15	2	8	113
1001		1		90	8	1	3	5	87
1002		1		125	3	17	3	3	108
1003		1		131		2		2	127
1004		6		180				5	175
1005		10		190		6		9	175
1006		2		110		1	1		110
1007		2		55	1	4	3	2	52
1008		2		87		5			82
1009		2		217	3	7		3	207
1010		1		114				1	113
1011		4		149	2		7	3	153
1012		2		155	1	1	4	3	155
1013		1		136	1			3	133
1014		2		67		3	1		65
1015		5		155	3	9	3	2	147
1016		1		23				1	22
1018		1		13					13
1020		1		13				1	12
1021		5		162	39		4	33	133
1022		1		132	10	13		6	113
1024		1		175	25	17		17	141
1026		2		94	33	13	10	7	84
1028		3		133	16			13	113
1029		1		145	30	31		11	103
1032		1		18					
1033		2		78		1	4		81
1034		1		132	43	5		27	100
1035		1		85	17		2	17	70
1036		1		74	6	5	6	15	60
1037		1		95	9	8	2	9	80
1038		1		120	34		1	38	83
1039		1		44	1	5	2	3	38
1040		1		47	5	3		4	40
1041		1		39		1	1		39
1043		2		128	4	4	2	4	122
1044		1		115	2	10	1	2	104
1045		5		187	112	23	4	77	101
1046		2		83	2		2	2	83
1047		2		95	5	7	4	4	88
1048		1		159	20	6		14	139
1049		1		23					23
1050		3		97	48	16	14	34	61
1051		3		190	62	24	8	58	116
1052		2		77	21	13	3	12	55
1053		1		113	3	17	20	5	111
1054		2		88	11	4	7	9	80
1055		1		84		13	10	2	79
1056		2		98		11	2	3	86
1057		1		141	7	7	11	4	141
1058		2		101	12	15	1	12	75
1059		1		106	10	1	3	10	98
1060		1		88	21	2	2	25	66
1061		1		49	13	5	5	11	38
1062		1		87	7	4	3	15	71
1063		3		222	90	4	15	65	168
1064		1		133		9	17	7	126
1065		3		102	6	3	10	2	107
1066		1		102	1	8	13	1	105
1068		2		84	12		7	4	88
1069		2		107	6	12	1	8	87
1070		1		130	3	18	2	11	98
1071		1		106	9	6	11	15	96
1073		1		135	13	4	1	6	126
1074		1		165	6	21	4	4	144
1075		1		140	5	15		5	120
1077		1		23			1	1	23
1078		1		34			3		37
1081		1		156	15	5		21	130
1082		1		28		2	2	1	27
1083		1		128	1	3		4	121
1084		1		145		2	3	2	144
1085		1		34					34
1087		1		130		7	1	3	121
1088		1		152	25	3	21	8	155
1090		1		29					29
1091		1		29					29
1092		1		17					
1093		1		102	4		7	4	105
1094		1		179	6	4		17	158
1096		2		173	5		10	2	181
1097		2		197	35	5	3	24	171
1098		1		166	3	6	1	3	158
1100		2		153	18	3	5	15	140
1101		6		173	32	11	10	20	152
1102		2	b	63	1	1		1	61
1103		1		20	1		1	1	20
1104		2		179	17	4		14	164
1105		1		165	4	6	2	5	156
1106		2		221	16	15	4	43	167
1107		1		73	8	5	5		73
1108		1		21	2		7	2	26
1109		1		160			1	1	160
1110		1		34	1	1	2	1	34
1111		2		154	2	2	3	2	153
1112		1		201	8	4	4	12	189
1113		2		110	10	4		3	103
1114		2		170	2	3	1	3	165
1115		3		224	4				118
1117		1		100	16		1	7	94
1118		1		20		2			18
1120		1		16			1	1	16
1121		1		17		1			16
1122		2		100	11	9		11	80
1123		3		58	7	3	14	4	65
1124		1		174	33	7	3	19	151
1125		2		97	5	2	2	4	93
1126		3		68	9	3	2	4	63
