number	number_sup	trip	trip_sup	onboard_at_departure	death_at_cape	left_at_cape	onboard_at_cape	death_during_voyage	onboard_at_arrival
296		1		90					
298		1		90					
299		1		55					
300		1		53					
301		1		90					
302		1		5					
303		1		24					
305		1		73					
306		1		30					
307		1		66					
310		2		101				4	97
311		2		92				17	75
318		5		69				32	37
320		3		90					
321		2		45					
335		1		56					
340		1		82					
446		4		80					76
448		2							50
464		2							71
466		1							76
467		1							24
468		1							24
469		1							54
470		1							13
471		3							90
474		1							60
475		4						6	69
476		3							89
479		2							77
480		1							103
481		7							86
482		5							59
483		4							75
484		1							20
485		3		40					40
486		3		51					
487		2							26
488		2							58
489		1							21
490		1							20
492		5							86
493		1							43
494		1							32
495		1							33
496		1							7
497		1							15
498		2							55
500		1							35
501		1							18
502		3							66
503		3							121
504		1							36
506		3							19
507		1							22
509		4							83
512		3							83
513		4							70
514		1							25
516		2							91
518		4							76
519		1							22
520		1							4
521		4							80
522		1							58
527		1							23
528		8						9	83
529		1						18	79
531		5						17	75
548		3							59
549		1							39
550		1							15
552		1							10
553		1							85
554		1							77
555		1							34
557		1							24
558		2						11	102
559		1							28
560		5							77
561		2							80
563		1							40
564		2							51
565		3							49
566		3							67
567		1							34
568		2							43
569		1							112
570		1							91
577		4							75
579		2							29
580		1							22
582		1							97
584		1							125
586		5							105
587		5							117
588		1							15
589		7							124
590		1							17
591		1							41
593		2							116
595		6							101
596		2							80
597		2							101
598		6							66
600		3							70
601		2							123
602		2		47					47
603		7		112					112
604		2							184
605		1							180
606		3							100
607		1							105
608		2							107
609		5							167
610		1		15					15
613		2		108			70		108
614		2		105					111
615		1		24					24
616		4							83
617		8							92
618		2							80
619		1							15
620		1		23					23
621		2							69
626		1							70
627		7							105
628		1							35
629		1							32
636		1							37
641		1							20
642		1							42
643		3							92
645		6							78
646		4							54
648		1							50
649		1							53
659		3						5	
681		8							114
683		1							75
685		4						3	90
687		2							36
691		1							22
693		1							23
694		1		25					
695		1							88
696		4							110
700		1							43
701		1							40
706		2							22
707		9							110
724		5							94
