number	number_sup	trip	trip_sup	onboard_at_departure	death_at_cape	left_at_cape	onboard_at_cape	death_during_voyage	onboard_at_arrival
1		1		59					
2		1		20					
3		1		85					
4		1		85					
5		1		75					
8		1		123					
9		1		100					
10		1		106					
11		1		42					
12		1		79					
13		2		85					
14		2		95					
15		2		20					
16		1		50					
17		1		83					
18		1		56					
19		1		109					
20		1		120					
21		1		110					
23		1		86					
31		2		46					
32		3		95					
33		3		21					
34		3		101					
41		1		175					
42		1		84					
43		1		166					
44		1		6					
45		1		80					
46		1		77					
82		1		130					
83		2		60					
84		1		160					
85		1		20					
86		1		60					
87		1		120					
88		1		70					
89		1		130					
90		1		50					
91		1		130					
92		1		130					
93		1		120					
96		2		104					
98		2		144					
99		1		124					
100		2		85					
101		1		148					
102		1		156					
103		1		179					
104		1		76					
105		2		143					
106		1		100					
116		2		60					
117		1		100					
118		1		200					
119		1		60					
120		2		140					
121		2		140					
122		1		60					
123		1		200					
124		1		60					
125		2		200					
126		2		160					
127		1		120					
128		1		60					
129		2		160					
130		2		200					
131		2		70					
132		1		18					
133		1		25					
134		1		50					
135		1		110					
136		1		30					
137		2		55					
138		2		55					
139		3		100					
140		2		100					
141		2		100					
142		1		100					
143		3		99					
144		2		70					
145		2		95					
146		2		100					
147		2		110					
148		2		30					
164		1		90					
165		1		230					
166		1		90					
168		1		90				36	
169		2		250				20	
170		1		250					
171		2		230					
172		1		250					
173		3		250					
174		1		250					
175		1		90					
177		2		250				163	
178		1		220					
180		2		208					
181		1		180					
200		1		213					
206		1		90					
207		1		200				113	
208		2		90					
209		1		130					
210		1		225					
214		2		100					
215		2		80					
216		1		120					
217		1		90					
218		2		250					
219		3		250					
220		1		120					
221		3		80					
222		2		300					
223		1		250					
224		2		125				3	
225		2		200					
226		1		206				157	
227		1		250					
228		2		100					
229		2		250					
230		3		125					
231		1		300					
232		2		250					
233		3		100					
234		2		250					
235		2		250	50			101	
236		2		150					
237		2		200					
262		3		120					
263		1		300					
264		1		250					
270		3		300					
272		4		130					
275		1		250					
277		2		150					
278		1		325				277	
279		1		175					
280		1		70					
281		1		100					
282		4		325				242	
283		3		200					
284		1		100					
285		1		70					
286		2		200					
287		1		70					
288		1		70					
289		1		70				9	
290		2						109	
291		2						70	
292		2						57	
314		2		175					
315		2		125					
316		1		180				10	170
317		3		225					
319		4		200					
322		3		184				38	146
323		2		300					
325		1		150				7	144
326		2		261				78	183
327		1		120				32	88
